PubchemID	GDSCID
124	271
1401	1049
2375	1502
2767	1005
3218	172
3385	179
3796	288
4261	88
4993	71
5291	34
5311	1012
5394	1375
5538	1009
5746	136
6253	1006
8249	196
31703	133
36314	11
36462	134
42640	269
60750	135
65110	1001
76044	41
82146	186
104842	1494
123631	1010
126565	1024
126941	1008
148124	1007
156422	1042
159324	204
160355	110
176158	1025
176167	229
176870	1
208908	119
216239	30
216326	1020
241903	1004
300471	1031
336423	1261
387447	104
442972	17
446378	180
447912	333
448013	201
462382	9
479503	170
521106	176
560326	165
637858	1243
644215	53
644241	1013
644243	231
704473	258
2314623	1067
2726824	1268
2733526	1199
3005532	166
3062316	51
3463933	173
5113032	341
5278396	1030
5280757	197
5284616	3
5289247	224
5311497	140
5311510	52
5327091	1170
5328940	1019
5329102	5
5330286	1054
5360373	190
5459322	147
5494449	32
5717801	111
6445533	200
6445562	282
6450551	1021
6450816	208
6505803	1026
6753378	175
6852167	303
6914657	1248
6918289	1016
6918454	1015
6918638	274
6918848	272
7251185	89
9549184	55
9583616	256
9826308	87
9826528	1060
9829523	153
9858940	1194
9863776	1242
9868037	298
9874913	255
9884685	302
9903786	305
9907093	94
9910224	266
9911830	312
9914412	1050
9926054	203
9931954	1175
9938202	1069
9943465	1023
9952773	221
9956119	1241
9956222	310
10027278	167
10074640	292
10077147	1037
10096043	194
10109823	207
10113978	199
10127622	1498
10172943	86
10184653	1377
10196499	228
10200390	178
10302451	38
10341154	1028
10384072	1046
10459196	1039
10461815	6
11152667	1022
11178236	268
11282283	293
11327430	1038
11338033	219
11353973	1091
11364421	60
11373846	230
11433190	1047
11455910	1149
11465183	1061
11467730	63
11485656	277
11493598	263
11507964	309
11609586	1133
11617559	193
11624601	1043
11625818	238
11626560	37
11626927	91
11631681	1052
11634725	262
11640390	185
11647372	223
11667893	1029
11676786	29
11707110	1372
11713159	158
11754511	222
11844351	56
11960529	1018
11977753	1057
16038120	35
16095342	1192
16663089	64
16681698	182
16720766	1529
16722836	306
16725726	326
16747388	295
16760646	45
17755052	1527
23725625	1495
24180719	1371
24756910	273
24772860	328
24776445	1033
24785538	184
24825971	54
24826799	155
24889392	254
24951314	276
24964624	1053
24978538	1011
25022668	177
25102847	249
25124816	202
25126798	206
25167777	283
25222038	157
25257557	300
25262965	1059
42623900	151
42642645	308
44137675	1066
44182295	1526
44224160	299
44462760	1373
44551660	152
44632017	1239
44819241	1259
46191454	301
46224516	1236
46843772	1164
46883536	1072
46885626	226
46907787	1218
46931012	279
46943432	275
49806720	281
49850262	265
51371303	1129
53302361	159
53340664	260
54676905	192
54685215	1230
56962337	1264
57339144	1262
71271629	1219
91820602	1114
130122464	330
